X:1330.7	Y:1528
X:1331	Y:2368
X:1332.4	Y:694
X:1332.8	Y:446
X:1333.6	Y:1095
X:1334.7	Y:5543
X:1335.3	Y:610
X:1336	Y:1790
X:1337.1	Y:1647
X:1337.7	Y:1893
X:1338.3	Y:762
X:1340.4	Y:762
X:1342.4	Y:618
X:1344.6	Y:1161
X:1345.5	Y:1544
X:1346.4	Y:1751
X:1347.2	Y:1637
X:1348.2	Y:4334
X:1349	Y:1093
X:1349.6	Y:335
X:1350.2	Y:503
X:1351.5	Y:642
X:1352.4	Y:1258
X:1353.2	Y:887
X:1353.9	Y:2171
X:1354.6	Y:1120
X:1355	Y:1065
X:1355.5	Y:539
X:1356.1	Y:413
X:1357.5	Y:938
X:1358.1	Y:2068
X:1359.1	Y:781
X:1359.8	Y:1880
X:1360.7	Y:396
X:1362.1	Y:3056
X:1363	Y:568
X:1363.5	Y:510
X:1364.2	Y:1622
X:1364.7	Y:3768
X:1365.3	Y:886
X:1365.9	Y:1069
X:1366.4	Y:1252
X:1367.1	Y:964
X:1368	Y:2066
X:1368.9	Y:800
X:1369.6	Y:1624
X:1370.5	Y:3130
X:1371.8	Y:1024
X:1372.6	Y:781
X:1373.3	Y:804
X:1373.7	Y:843
X:1374.3	Y:678
X:1375.4	Y:729
X:1376.7	Y:551
X:1377.4	Y:598
X:1378.1	Y:761
X:1379.5	Y:283
X:1380.5	Y:2402
X:1381	Y:701
X:1381.7	Y:1917
X:1382.1	Y:894
X:1382.7	Y:1249
X:1383.9	Y:421
X:1384.6	Y:9436
X:1385.1	Y:11482
X:1385.5	Y:10658
X:1386.1	Y:6452
X:1387.2	Y:2552
X:1387.8	Y:812
X:1388.3	Y:335
X:1389	Y:885
X:1389.6	Y:855
X:1390.4	Y:955
X:1391.1	Y:383
X:1392.2	Y:457
X:1392.9	Y:448
X:1393.7	Y:376
X:1394.2	Y:2181
X:1395.7	Y:1973
X:1397	Y:616
X:1397.8	Y:1390
X:1398.4	Y:930
X:1399	Y:980
X:1399.9	Y:664
X:1400.6	Y:705
X:1401.6	Y:2309
X:1402.3	Y:418
X:1403	Y:329
X:1403.5	Y:431
X:1405.7	Y:550
X:1406.4	Y:1413
X:1407.7	Y:293
X:1408.4	Y:465
X:1409.1	Y:487
X:1409.9	Y:6040
X:1411	Y:1716
X:1412	Y:1350
X:1412.5	Y:2298
X:1413.2	Y:416
X:1414.2	Y:885
X:1414.7	Y:1169
X:1415.7	Y:332
X:1416.5	Y:690
X:1417.3	Y:866
X:1418.2	Y:505
X:1419.4	Y:681
X:1420.4	Y:1129
X:1421.2	Y:385
X:1421.9	Y:274
X:1423	Y:291
X:1423.5	Y:1031
X:1424	Y:599
X:1424.8	Y:672
X:1425.3	Y:726
X:1425.8	Y:1240
X:1426.8	Y:2062
X:1427.7	Y:689
X:1429.5	Y:301
X:1430.2	Y:1016
X:1431.5	Y:1459
X:1432.2	Y:360
X:1434.3	Y:674
X:1434.8	Y:680
X:1435.8	Y:1122
X:1436.4	Y:827
X:1441.4	Y:467
X:1442.3	Y:1540
X:1443.6	Y:3656
X:1444.5	Y:537
X:1445.1	Y:2705
X:1446	Y:852
X:1446.7	Y:871
X:1448.1	Y:617
X:1448.8	Y:3751
